100,100
200,100
300,100
100,200
200,200
300,200
100,300
200,300
300,300
331,62
118,56
47,202
58,304
319,323
221,342
161,200
344,202
240,134
69,118
133,318
149,245
255,241
84,26
308,151
191,152
120,153
91,253
306,252
200,226
261,71
433,171
372,249
158,247
216,140
402,136
216,317
20,218
424,360
95,57
276,110
204,265
142,378
302,339
387,305
416,226
433,146
409,121
320,115
250,122
212,160
212,226
233,292
304,328
366,338
432,305
439,161
403,144
350,148
325,169
308,209
321,247
350,271
378,270
412,255
426,236
421,215
381,197
118,351
63,356
32,301
30,170
40,87
152,31
211,25
354,25
421,25
489,55
497,170
504,221
481,305
467,347
423,373
317,393
233,394
164,394
60,178
78,75
